|MÉTODOS DE ORDENAÇÃO|ARQUIVO ORDENADO			|ARQUIVO EM ORDEM REVERSA	     |ARQUIVO RANDÔMICO
|		     |Comp. 1	|Comp. 2|Mov. 1	|Mov. 2	|Tempo	|Comp. 1|Comp. 2|Mov. 1|Mov. 2	|Tempo	|Comp. 1|Comp. 2|Mov. 1	|Mov. 2	|Tempo|
|Insertion Sort	     | 19	| 7	| 19	| 21	| 172	| 209	| 17	| 209	| 42	| 1162	| 116	| 18	| 116	| 32	| 647	|

|Binary Insertion    | 156	| 0	| 0	| 21	| 296	| 149	| 28	| 380	| 42	| 2312	| 163	| 17	| 194	| 63	| 1354	|

|Select Sort	     | 190	| 28	| 38	| 21	| 681	| 190	| 28	| 38	| 37	| 924	| 190	| 28	| 38	| 21	| 744	|

|Bubble Sort	     | 190	| 0	| 0	| 21	| 922	| 190	| 28	| 380	| 3	| 1984	| 190	| 28	| 194	| 21	| 1469	|

|Shake Sort	     | 200	| 28	| 0	| 0	| 968	| 200	| 28	| 380	| 42	| 2016	| 200	| 28	| 194	| 84	| 1516	|

|Shell Sort	     | 53	| 28	| 0	| 21	| 250	| 115	| 28	| 138	| 3	| 969	| 91	| 28	| 88	| 21	| 668	|

|Heap Sort	     | 200	| 28	| 136	| 21	| 1438	| 200	| 28	| 104	| 3	| 1348	| 200	| 28	| 130	| 21	| 1440	|

|Quick Sort 1	     | 190	| 28	| 0	| 21	| 656	| 190	| 28	| 20	| 3	| 719	| 79	| 28	| 50	| 21	| 531	|

|Quick Sort 2	     | 78	| 28	| 24	| 21	| 297	| 82	| 28	| 44	| 3	| 344	| 112	| 28	| 56	| 21	| 484	|

